radius,z,i,name
2.0,0.2,2000000.0,HardCore1
2.1,0.17320508075688776,2000000.0,HardCore2
2.1732050807568877,0.10000000000000003,2000000.0,HardCore3
2.2,1.2246467991473533e-17,2000000.0,HardCore4
2.1732050807568877,-0.09999999999999996,2000000.0,HardCore5
2.1,-0.17320508075688776,2000000.0,HardCore6
2.0,-0.2,2000000.0,HardCore7
1.9,-0.17320508075688773,2000000.0,HardCore8
1.8267949192431123,-0.10000000000000009,2000000.0,HardCore9
1.8,-3.6739403974420595e-17,2000000.0,HardCore10
1.8267949192431123,0.10000000000000003,2000000.0,HardCore11
1.9,0.17320508075688767,2000000.0,HardCore12
2.0,0.5,-2000000.0,External1
2.086824088833465,0.492403876506104,-2000000.0,External2
2.171010071662834,0.4698463103929542,-2000000.0,External3
2.25,0.43301270189221935,-2000000.0,External4
2.32139380484327,0.383022221559489,-2000000.0,External5
2.383022221559489,0.3213938048432697,-2000000.0,External6
2.433012701892219,0.25000000000000006,-2000000.0,External7
2.469846310392954,0.1710100716628344,-2000000.0,External8
2.492403876506104,0.08682408883346521,-2000000.0,External9
2.5,3.061616997868383e-17,-2000000.0,External10
2.492403876506104,-0.08682408883346515,-2000000.0,External11
2.4698463103929544,-0.17101007166283436,-2000000.0,External12
2.433012701892219,-0.2499999999999999,-2000000.0,External13
2.383022221559489,-0.3213938048432697,-2000000.0,External14
2.32139380484327,-0.38302222155948895,-2000000.0,External15
2.25,-0.43301270189221935,-2000000.0,External16
2.1710100716628347,-0.46984631039295416,-2000000.0,External17
2.0868240888334655,-0.492403876506104,-2000000.0,External18
2.0,-0.5,-2000000.0,External19
1.9131759111665347,-0.492403876506104,-2000000.0,External20
1.8289899283371658,-0.4698463103929542,-2000000.0,External21
1.75,-0.4330127018922193,-2000000.0,External22
1.6786061951567304,-0.383022221559489,-2000000.0,External23
1.616977778440511,-0.32139380484326974,-2000000.0,External24
1.5669872981077808,-0.2500000000000002,-2000000.0,External25
1.530153689607046,-0.1710100716628347,-2000000.0,External26
1.507596123493896,-0.08682408883346517,-2000000.0,External27
1.5,-9.184850993605148e-17,-2000000.0,External28
1.507596123493896,0.08682408883346499,-2000000.0,External29
1.5301536896070458,0.1710100716628345,-2000000.0,External30
1.5669872981077808,0.25000000000000006,-2000000.0,External31
1.616977778440511,0.3213938048432696,-2000000.0,External32
1.6786061951567302,0.3830222215594889,-2000000.0,External33
1.7499999999999998,0.4330127018922192,-2000000.0,External34
1.8289899283371653,0.46984631039295405,-2000000.0,External35
1.9131759111665347,0.492403876506104,-2000000.0,External36
